ZIP Code,State,FLORENCE,SUFFOLK,ONTARIO,ABE2,LANCASTER,ROCKY
544,NY,4,3,8,2,2,4
601,PR,45,45,45,45,45,45
602,PR,45,45,45,45,45,45
603,PR,45,45,45,45,45,45
604,PR,45,45,45,45,45,45
605,PR,45,45,45,45,45,45
606,PR,45,45,45,45,45,45
610,PR,45,45,45,45,45,45
611,PR,45,45,45,45,45,45
612,PR,45,45,45,45,45,45
613,PR,45,45,45,45,45,45
614,PR,45,45,45,45,45,45
616,PR,45,45,45,45,45,45
617,PR,45,45,45,45,45,45
622,PR,45,45,45,45,45,45
623,PR,45,45,45,45,45,45
624,PR,45,45,45,45,45,45
627,PR,45,45,45,45,45,45
631,PR,45,45,45,45,45,45
636,PR,45,45,45,45,45,45
637,PR,45,45,45,45,45,45
638,PR,45,45,45,45,45,45
641,PR,45,45,45,45,45,45
646,PR,45,45,45,45,45,45
647,PR,45,45,45,45,45,45
650,PR,45,45,45,45,45,45
652,PR,45,45,45,45,45,45
653,PR,45,45,45,45,45,45
656,PR,45,45,45,45,45,45
659,PR,45,45,45,45,45,45
660,PR,45,45,45,45,45,45
662,PR,45,45,45,45,45,45
664,PR,45,45,45,45,45,45
667,PR,45,45,45,45,45,45
669,PR,45,45,45,45,45,45
670,PR,45,45,45,45,45,45
674,PR,45,45,45,45,45,45
676,PR,45,45,45,45,45,45
677,PR,45,45,45,45,45,45
678,PR,45,45,45,45,45,45
680,PR,45,45,45,45,45,45
681,PR,45,45,45,45,45,45
682,PR,45,45,45,45,45,45
683,PR,45,45,45,45,45,45
685,PR,45,45,45,45,45,45
687,PR,45,45,45,45,45,45
688,PR,45,45,45,45,45,45
690,PR,45,45,45,45,45,45
692,PR,45,45,45,45,45,45
693,PR,45,45,45,45,45,45
694,PR,45,45,45,45,45,45
698,PR,45,45,45,45,45,45
703,PR,45,45,45,45,45,45
704,PR,45,45,45,45,45,45
705,PR,45,45,45,45,45,45
707,PR,45,45,45,45,45,45
714,PR,45,45,45,45,45,45
715,PR,45,45,45,45,45,45
716,PR,45,45,45,45,45,45
717,PR,45,45,45,45,45,45
718,PR,45,45,45,45,45,45
719,PR,45,45,45,45,45,45
720,PR,45,45,45,45,45,45
721,PR,45,45,45,45,45,45
723,PR,45,45,45,45,45,45
725,PR,45,45,45,45,45,45
726,PR,45,45,45,45,45,45
727,PR,45,45,45,45,45,45
728,PR,45,45,45,45,45,45
729,PR,45,45,45,45,45,45
730,PR,45,45,45,45,45,45
731,PR,45,45,45,45,45,45
732,PR,45,45,45,45,45,45
733,PR,45,45,45,45,45,45
734,PR,45,45,45,45,45,45
735,PR,45,45,45,45,45,45
736,PR,45,45,45,45,45,45
737,PR,45,45,45,45,45,45
738,PR,45,45,45,45,45,45
739,PR,45,45,45,45,45,45
740,PR,45,45,45,45,45,45
741,PR,45,45,45,45,45,45
742,PR,45,45,45,45,45,45
744,PR,45,45,45,45,45,45
745,PR,45,45,45,45,45,45
751,PR,45,45,45,45,45,45
754,PR,45,45,45,45,45,45
757,PR,45,45,45,45,45,45
758,PR,45,45,45,45,45,45
765,PR,45,45,45,45,45,45
766,PR,45,45,45,45,45,45
767,PR,45,45,45,45,45,45
769,PR,45,45,45,45,45,45
771,PR,45,45,45,45,45,45
772,PR,45,45,45,45,45,45
773,PR,45,45,45,45,45,45
775,PR,45,45,45,45,45,45
777,PR,45,45,45,45,45,45
778,PR,45,45,45,45,45,45
780,PR,45,45,45,45,45,45
782,PR,45,45,45,45,45,45
783,PR,45,45,45,45,45,45
784,PR,45,45,45,45,45,45
785,PR,45,45,45,45,45,45
786,PR,45,45,45,45,45,45
791,PR,45,45,45,45,45,45
792,PR,45,45,45,45,45,45
794,PR,45,45,45,45,45,45
795,PR,45,45,45,45,45,45
801,VI,Intl,Intl,Intl,Intl,Intl,Intl
802,VI,Intl,Intl,Intl,Intl,Intl,Intl
803,VI,Intl,Intl,Intl,Intl,Intl,Intl
804,VI,Intl,Intl,Intl,Intl,Intl,Intl
805,VI,Intl,Intl,Intl,Intl,Intl,Intl
820,VI,Intl,Intl,Intl,Intl,Intl,Intl
821,VI,Intl,Intl,Intl,Intl,Intl,Intl
822,VI,Intl,Intl,Intl,Intl,Intl,Intl
823,VI,Intl,Intl,Intl,Intl,Intl,Intl
824,VI,Intl,Intl,Intl,Intl,Intl,Intl
830,VI,Intl,Intl,Intl,Intl,Intl,Intl
831,VI,Intl,Intl,Intl,Intl,Intl,Intl
840,VI,Intl,Intl,Intl,Intl,Intl,Intl
841,VI,Intl,Intl,Intl,Intl,Intl,Intl
850,VI,Intl,Intl,Intl,Intl,Intl,Intl
851,VI,Intl,Intl,Intl,Intl,Intl,Intl
901,PR,45,45,45,45,45,45
902,PR,45,45,45,45,45,45
906,PR,45,45,45,45,45,45
907,PR,45,45,45,45,45,45
908,PR,45,45,45,45,45,45
909,PR,45,45,45,45,45,45
910,PR,45,45,45,45,45,45
911,PR,45,45,45,45,45,45
912,PR,45,45,45,45,45,45
913,PR,45,45,45,45,45,45
914,PR,45,45,45,45,45,45
915,PR,45,45,45,45,45,45
916,PR,45,45,45,45,45,45
917,PR,45,45,45,45,45,45
918,PR,45,45,45,45,45,45
919,PR,45,45,45,45,45,45
920,PR,45,45,45,45,45,45
921,PR,45,45,45,45,45,45
922,PR,45,45,45,45,45,45
923,PR,45,45,45,45,45,45
924,PR,45,45,45,45,45,45
925,PR,45,45,45,45,45,45
926,PR,45,45,45,45,45,45
927,PR,45,45,45,45,45,45
928,PR,45,45,45,45,45,45
929,PR,45,45,45,45,45,45
930,PR,45,45,45,45,45,45
931,PR,45,45,45,45,45,45
933,PR,45,45,45,45,45,45
934,PR,45,45,45,45,45,45
935,PR,45,45,45,45,45,45
936,PR,45,45,45,45,45,45
937,PR,45,45,45,45,45,45
939,PR,45,45,45,45,45,45
940,PR,45,45,45,45,45,45
949,PR,45,45,45,45,45,45
950,PR,45,45,45,45,45,45
